"","TeamPage","Rank","Name","Games","Wins","Losses","Ties","PointsFor","PointsAgainst","HE","SD","FE","SE"
"473","https://www.curlingzone.com/team.php?teamid=139591&profileid=&view=OOM&OOMweek=37#1",473,"Stephane Brabant","5","2","3",NA,"7.89","7.63","0.25","0.25","0.54","0.32"
"474","https://www.curlingzone.com/team.php?teamid=142239&profileid=&view=OOM&OOMweek=37#1",474,"Wayne Ewasko","3","1","2",NA,"6.67","9.58","0.4","0.27","0.56","0.23"
"475","https://www.curlingzone.com/team.php?teamid=142160&profileid=&view=OOM&OOMweek=37#1",475,"Pierre Blanchard","5","2","3",NA,"7.84","7.03","0.37","0.4","0.82","0.29"
"476","https://www.curlingzone.com/team.php?teamid=143145&profileid=&view=OOM&OOMweek=37#1",476,"Neil Power","5","2","3",NA,"5.59","8.53","0.19","0.11","0.31","0.13"
"477","https://www.curlingzone.com/team.php?teamid=141318&profileid=&view=OOM&OOMweek=37#1",477,"Dave Sullivan","4","1","3",NA,"7.59","7.24","0.38","0.13","0.5","0.29"
"478","https://www.curlingzone.com/team.php?teamid=137031&profileid=&view=OOM&OOMweek=37#1",478,"Tom Mulhern","4","2","2",NA,"5.71","8.93","0.21","0.5","0.57","0.36"
"479","https://www.curlingzone.com/team.php?teamid=140634&profileid=&view=OOM&OOMweek=37#1",479,"Gabor Bor Zelinka","5","1","4",NA,"5.28","10","0.25","0.29","0.38","0.11"
"480","https://www.curlingzone.com/team.php?teamid=140652&profileid=&view=OOM&OOMweek=37#1",480,"Karel Klima","4","1","3",NA,"4.67","8","0.22","0.08","0.36","0.18"
"481","https://www.curlingzone.com/team.php?teamid=140881&profileid=&view=OOM&OOMweek=37#1",481,"Brecklin Gervais","4","1","3",NA,"6.43","8.21","0.29","0.33","0.33","0.15"
"482","https://www.curlingzone.com/team.php?teamid=139010&profileid=&view=OOM&OOMweek=37#1",482,"Glen Warnica","3","1","2",NA,"6.84","8.95","0.18","0.36","0.2","0.25"
"483","https://www.curlingzone.com/team.php?teamid=139006&profileid=&view=OOM&OOMweek=37#1",483,"Craig Van Ymeren","3","1","2",NA,"8.24","9.41","0.43","0.38","0.8","0.33"
"484","https://www.curlingzone.com/team.php?teamid=138998&profileid=&view=OOM&OOMweek=37#1",484,"Dave Lawes","3","1","2",NA,"7.5","7.5","0.22","0.44","0.4","0.55"
"485","https://www.curlingzone.com/team.php?teamid=139000&profileid=&view=OOM&OOMweek=37#1",485,"Michael Shepherd","3","1","2",NA,"6.52","8.7","0.09","0.55","0.33","0.5"
"486","https://www.curlingzone.com/team.php?teamid=141939&profileid=&view=OOM&OOMweek=37#1",486,"Brent Franko","4","1","3",NA,"4.78","10","0.08","0.56","0.5","0.29"
"487","https://www.curlingzone.com/team.php?teamid=141938&profileid=&view=OOM&OOMweek=37#1",487,"Garret Fedak","3","1","2",NA,"7.08","6.67","0.17","0.5","0.5","0.42"
"488","https://www.curlingzone.com/team.php?teamid=136845&profileid=&view=OOM&OOMweek=37#1",488,"Raphael Patry","3","1","2",NA,"6.67","8.33","0.45","0.27","0.44","0.15"
"489","https://www.curlingzone.com/team.php?teamid=135231&profileid=&view=OOM&OOMweek=37#1",489,"Pengpeng Cao","6","1","5",NA,"6.92","10","0.27","0.42","0.33","0.2"
"490","https://www.curlingzone.com/team.php?teamid=141229&profileid=&view=OOM&OOMweek=37#1",490,"Andrew Manson","3","1","2",NA,"6.19","9.05","0.23","0.43","0","0.29"
"491","https://www.curlingzone.com/team.php?teamid=136666&profileid=&view=OOM&OOMweek=37#1",491,"Branden Cookson","9","1","8",NA,"4.78","10.45","0.18","0.56","0.48","0.11"
"492","https://www.curlingzone.com/team.php?teamid=141224&profileid=&view=OOM&OOMweek=37#1",492,"Gord Cherry","3","1","2",NA,"9.2","9.2","0.31","0.31","0.43","0.33"
"493","https://www.curlingzone.com/team.php?teamid=143897&profileid=&view=OOM&OOMweek=37#1",493,"Steven van Ouwerkerk","5","2","3",NA,"5.85","10","0.35","0.35","0.53","0.05"
"494","https://www.curlingzone.com/team.php?teamid=141316&profileid=&view=OOM&OOMweek=37#1",494,"Jamie Newson","5","2","3",NA,"8.81","8.1","0.5","0.3","0.57","0.27"
"495","https://www.curlingzone.com/team.php?teamid=143901&profileid=&view=OOM&OOMweek=37#1",495,"Rod MacDonald","5","2","3",NA,"6","8","0.32","0.27","0.29","0.05"
"496","https://www.curlingzone.com/team.php?teamid=143888&profileid=&view=OOM&OOMweek=37#1",496,"John Likely","5","2","3",NA,"7.27","5.68","0.11","0.2","0.73","0.29"
"497","https://www.curlingzone.com/team.php?teamid=146601&profileid=&view=OOM&OOMweek=37#1",497,"Sandro Fanchini","7","1","6",NA,"4.76","8.89","0.2","0.37","0.29","0.24"
"498","https://www.curlingzone.com/team.php?teamid=146603&profileid=&view=OOM&OOMweek=37#1",498,"Jannis Bannwart","7","1","6",NA,"5.09","9.3","0.21","0.38","0.39","0.23"
"499","https://www.curlingzone.com/team.php?teamid=145670&profileid=&view=OOM&OOMweek=37#1",499,"Raul Garcia G.","9","1","8",NA,"6.97","12.12","0.29","0.47","0.25","0.29"
"500","https://www.curlingzone.com/team.php?teamid=145656&profileid=&view=OOM&OOMweek=37#1",500,"Ignacio Galdeano","9","1","8",NA,"5.08","11.15","0.15","0.51","0.35","0.23"
"501","https://www.curlingzone.com/team.php?teamid=139158&profileid=&view=OOM&OOMweek=37#1",501,"Brayden Payette","4","1","3",NA,"2.67","7.33","0","0.71","0.75","0.25"
"502","https://www.curlingzone.com/team.php?teamid=137852&profileid=&view=OOM&OOMweek=37#1",502,"Karlis Smilga","9","2","7",NA,"6.03","9.32","0.3","0.38","0.5","0.19"
"503","https://www.curlingzone.com/team.php?teamid=144079&profileid=&view=OOM&OOMweek=37#1",503,"Ritvars Gulbis","5","2","3",NA,"7.39","9.57","0.4","0.35","0.31","0.15"
"504","https://www.curlingzone.com/team.php?teamid=139454&profileid=&view=OOM&OOMweek=37#1",504,"Oleg Krasikov","9","2","7",NA,"6.25","7.5","0.19","0.26","0.33","0.31"
"505","https://www.curlingzone.com/team.php?teamid=137401&profileid=&view=OOM&OOMweek=37#1",505,"Jason LaMontagne","4","1","3",NA,"6.3","10","0.45","0.45","0.44","0.25"
